Program:    MAESTEST: Version September 2001                            
Control:    ***  SAMPLE CONTROL  ***                                    
Trees:      *** SAMPLE TREES FILE ***                                   
Structure:  *** SAMPLE STR FILE ***                                     
Points:     Sample points file                                          
Met data:   *** SAMPLE MET FILE : HALF-HOURLY DATA ***                  
 
 PT        BEAM         DIFF         SCAT        TOTAL
 
HOUR:  6  INCIDENT PAR:    24.36 UMOL M-2 S-1
  1      0.00000      0.00089      0.00067      0.00156
  2      0.00000      0.40399      0.06694      0.47093
  3      0.00000      2.34008      0.18841      2.52849
  4      0.00000      5.34548      0.28065      5.62613
  5      0.00000      9.00132      0.33271      9.33403
  6      0.00000     11.09636      0.34348     11.43984
HOUR:  7  INCIDENT PAR:    50.32 UMOL M-2 S-1
  1      0.00000      0.00183      0.00138      0.00322
  2      0.00000      0.83456      0.13828      0.97284
  3      0.00000      4.83416      0.38923      5.22338
  4      0.00000     11.04276      0.57978     11.62254
  5      0.00000     18.59504      0.68732     19.28236
  6      0.00000     22.92300      0.70956     23.63256
HOUR:  8  INCIDENT PAR:    96.90 UMOL M-2 S-1
  1      0.00000      0.00353      0.00266      0.00619
  2      0.00000      1.60720      0.26630      1.87349
  3      0.00000      9.30957      0.74957     10.05914
  4      0.00000     21.26604      1.11653     22.38257
  5      0.00000     35.81015      1.32363     37.13378
  6      0.00000     44.14490      1.36646     45.51136
HOUR:  9  INCIDENT PAR:   166.30 UMOL M-2 S-1
  1      0.00000      0.00606      0.00457      0.01063
  2      0.00000      2.75827      0.45702      3.21529
  3      0.00000     15.97711      1.28641     17.26352
  4      0.00000     36.49683      1.91619     38.41302
  5      0.00000     61.45746      2.27162     63.72907
  6      0.00000     75.76157      2.34513     78.10670
HOUR: 10  INCIDENT PAR:   266.37 UMOL M-2 S-1
  1      0.00118      0.00752      0.00614      0.01483
  2      0.90005      3.42282      0.64212      4.96499
  3     11.16347     19.82647      1.89383     32.88377
  4     22.79406     45.29000      2.95710     71.04115
  5     11.92302     76.26438      3.68571     91.87311
  6     11.53463     94.01479      3.93506    109.48448
HOUR: 11  INCIDENT PAR:   360.67 UMOL M-2 S-1
  1      0.00191      0.00941      0.00800      0.01932
  2      1.45465      4.28333      0.85501      6.59299
  3     18.68321     24.81091      2.56175     46.05588
  4     35.28196     56.67605      4.03501     95.99302
  5     59.66225     95.43750      5.04282    160.14256
  6     32.02627    117.65041      5.37746    155.05414
HOUR: 12  INCIDENT PAR:   526.70 UMOL M-2 S-1
  1      0.00338      0.01064      0.01045      0.02447
  2      3.25148      4.84585      1.18437      9.28169
  3     40.62656     28.06924      3.68125     72.37706
  4     85.62213     64.11912      5.91651    155.65776
